Timestamp,dating_apps,looking,serious_relationships,spending_money
10/27/2023 14:26:35,No,No,1,100
10/27/2023 14:46:59,Yes,Yes,1,80
10/27/2023 18:17:27,Yes,Yes,3,250
10/30/2023 14:08:32,No,Yes,2,100
10/30/2023 14:17:24,No,No,0,25
10/30/2023 14:20:59,No,Yes,0,12
10/30/2023 14:24:13,No,Yes,0,60
10/30/2023 14:24:16,Yes,No,0,20
10/30/2023 14:24:19,No,No,1,55
10/30/2023 14:25:52,No,Yes,6,80
10/30/2023 14:27:26,No,No,3,0
10/30/2023 14:29:53,No,No,0,50
10/30/2023 14:30:57,No,Yes,0,200
10/30/2023 14:31:59,No,Yes,1,50
10/30/2023 14:32:41,No,Yes,1,50
10/30/2023 14:34:36,No,Yes,3,50
10/30/2023 14:35:50,Yes,Yes,0,40
10/30/2023 14:41:25,No,No,2,200
10/30/2023 14:53:16,Yes,Yes,1,30
10/30/2023 14:54:26,No,No,0,200
10/30/2023 15:08:36,Yes,Yes,1,50
10/30/2023 15:09:10,No,No,1,60
10/30/2023 15:11:27,Yes,Yes,2,25
10/30/2023 15:38:14,No,Yes,0,100
10/30/2023 15:48:30,No,Yes,2,30
10/30/2023 16:01:05,No,Yes,2,100
10/30/2023 16:04:15,No,Yes,3,15
10/30/2023 16:06:35,No,No,0,100000
10/30/2023 16:13:31,No,Yes,4,120
10/30/2023 16:14:10,No,Yes,1,100
10/30/2023 16:14:22,No,No,1,100
10/30/2023 16:14:24,No,No,0,50
10/30/2023 16:34:07,Yes,Yes,2,50
10/30/2023 16:56:32,No,No,0,-69
10/30/2023 16:59:47,No,Yes,3,20
10/30/2023 17:06:31,Yes,Yes,1,100
10/30/2023 17:09:44,Yes,No,2,40
10/30/2023 17:33:22,Yes,No,0,150
10/30/2023 17:34:57,Yes,Yes,3,40
10/30/2023 17:36:13,No,No,4,50
10/30/2023 17:56:41,No,Yes,1,30
10/30/2023 18:36:14,No,Yes,1,200
10/30/2023 18:39:07,Yes,Yes,4,75
10/30/2023 19:20:30,No,No,1,75
10/30/2023 19:21:13,Yes,No,3,150
10/30/2023 19:21:22,Yes,Yes,3,50
10/30/2023 19:22:56,No,No,0,30
10/30/2023 19:35:36,No,No,1,118
10/30/2023 19:46:06,Yes,Yes,2,50
10/30/2023 19:55:09,No,Yes,2,100
10/30/2023 19:55:44,No,No,0,100
10/30/2023 19:58:31,No,Yes,2,50
10/30/2023 20:03:06,No,Yes,1,80
10/30/2023 20:16:49,No,Yes,2,50
10/30/2023 20:19:01,No,Yes,2,80
10/30/2023 20:30:54,No,Yes,3,75
10/30/2023 20:46:43,No,No,0,100
10/30/2023 21:06:27,No,Yes,1,50
10/30/2023 21:16:56,No,Yes,2,50
10/30/2023 22:14:13,No,Yes,2,50
10/30/2023 22:15:59,No,Yes,1,1
10/31/2023 8:04:56,No,Yes,1,50
10/31/2023 8:36:35,No,No,0,50
10/31/2023 10:17:09,Yes,Yes,0,100
10/31/2023 10:34:36,No,No,11,40
10/31/2023 11:15:53,No,Yes,3,100
11/1/2023 1:17:01,No,Yes,2,50
11/1/2023 1:20:11,No,Yes,1,50
11/1/2023 13:52:21,No,Yes,2,100
11/1/2023 14:02:03,No,Yes,2,200
11/1/2023 14:04:59,No,Yes,0,100
11/1/2023 14:14:32,Yes,Yes,1,150
11/1/2023 14:38:33,No,Yes,2,250
11/1/2023 16:53:48,No,No,1,50
11/1/2023 18:27:45,No,No,0,50
11/1/2023 19:23:46,No,Yes,2,30
11/1/2023 20:38:36,No,Yes,2,20
11/1/2023 20:39:06,No,No,0,25
11/1/2023 21:21:02,Yes,Yes,2,60
11/1/2023 21:35:04,No,Yes,1,50
11/1/2023 22:03:01,No,Yes,0,100
11/1/2023 22:26:10,No,Yes,1,80
11/1/2023 22:44:28,No,Yes,0,50
11/1/2023 23:28:22,No,No,0,100
11/1/2023 23:31:00,No,Yes,3,100
11/1/2023 23:31:30,No,Yes,0,100
11/2/2023 0:31:29,No,Yes,2,50
11/2/2023 0:33:15,No,Yes,1,50
11/2/2023 0:41:13,Yes,No,3,100
11/2/2023 1:37:31,Yes,Yes,2,70
11/2/2023 6:34:08,No,No,3,30
11/2/2023 8:32:00,No,Yes,0,100
11/2/2023 8:39:33,No,Yes,1,100
11/2/2023 8:41:39,No,Yes,0,100
11/2/2023 8:43:25,No,No,1,200
11/2/2023 8:44:46,No,No,2,150
11/2/2023 8:45:07,No,Yes,3,80
11/2/2023 8:48:21,Yes,Yes,1,1
11/2/2023 8:48:25,No,Yes,3,100
11/2/2023 9:05:55,No,Yes,1,50